,Time,Cooling efficiency,Cooling power,Motor power W,Volume flow l/min 1,Volume flow l/min 2,Pressure bar 1,Pressure bar 2,Pressure bar 3,Pressure bar 4,Pressure bar 5,Pressure bar 6,Efficiency factor,Temperature 1,Temperature  2,Temperature  3,Temperature  4, Vibration mm/s,Date
0,0,47.202,2.184,2411.6,8.99,10.179,151.47,125.5,2.305,0.0,9.936,9.818,68.039,35.57,40.961,38.32,30.363,0.604,2018-04-26 00:00:00
60,60,29.208,1.414,2409.6,8.919,10.408,151.11,125.06,2.281,0.0,9.7,9.592,68.264,36.156,41.258,38.68,33.648,0.59,2018-04-26 01:00:00
120,120,23.554,1.159,2397.8,9.179,10.392,150.81,125.13,2.227,0.0,9.606,9.505,68.595,37.488,42.129,39.234,35.113,0.578,2018-04-26 02:00:00
180,180,21.54,1.101,2383.8,9.034,10.329,150.48,124.93,2.32,0.0,9.528,9.422,68.628,38.633,43.039,40.086,36.133,0.565,2018-04-26 03:00:00
240,240,20.46,1.086,2372.0,8.729,10.276,150.41,124.72,2.25,0.0,9.408,9.315,68.868,39.461,44.031,40.934,36.992,0.57,2018-04-26 04:00:00
300,300,19.651,1.083,2369.6,9.044,10.213,150.27,124.44,2.266,0.0,9.348,9.25,68.972,40.398,44.883,41.762,37.824,0.568,2018-04-26 05:00:00
360,360,19.339,1.11,2369.8,9.393,10.133,149.92,124.23,2.242,0.0,9.283,9.198,68.512,41.223,45.684,42.609,38.566,0.582,2018-04-26 06:00:00
420,420,18.788,1.102,2355.8,9.109,10.114,149.72,124.35,2.187,0.0,9.194,9.092,68.566,42.043,46.461,43.285,39.227,0.583,2018-04-26 07:00:00
480,480,18.362,1.103,2354.0,9.244,10.069,149.82,124.28,2.117,0.0,9.144,9.054,68.697,42.73,47.141,43.875,39.793,0.57,2018-04-26 08:00:00
540,540,18.201,1.122,2349.8,9.412,10.033,149.68,124.02,2.047,0.0,9.117,9.031,68.854,43.379,47.793,44.539,40.379,0.578,2018-04-26 09:00:00
600,600,18.184,1.14,2349.8,8.928,9.971,149.84,124.14,2.031,0.0,9.125,9.027,68.832,43.992,48.457,45.137,40.875,0.576,2018-04-26 10:00:00
660,660,18.229,1.159,2347.6,9.594,9.922,149.58,124.09,1.992,0.0,9.069,8.983,68.771,44.594,48.988,45.648,41.301,0.572,2018-04-26 11:00:00
720,720,17.748,1.158,2341.6,9.492,9.927,149.48,123.81,2.391,0.0,9.033,8.95,68.696,45.082,49.488,46.129,41.805,0.578,2018-04-26 12:00:00
780,780,17.726,1.182,2339.6,9.221,9.911,149.47,124.16,1.953,0.0,8.945,8.87,68.639,45.574,49.98,46.648,42.203,0.605,2018-04-26 13:00:00
840,840,17.561,1.182,2337.6,8.847,9.901,149.44,123.98,2.0,0.0,8.934,8.863,69.008,45.992,50.414,47.078,42.613,0.568,2018-04-26 14:00:00
900,900,17.922,1.218,2333.6,9.199,9.837,149.31,123.87,2.266,0.0,8.901,8.825,68.845,46.422,50.832,47.539,43.004,0.584,2018-04-26 15:00:00
960,960,17.675,1.204,2329.8,9.28,9.818,149.31,123.41,2.242,0.0,8.879,8.806,68.955,46.762,51.215,47.82,43.281,0.584,2018-04-26 16:00:00
1020,1020,17.718,1.234,2327.8,9.286,9.81,149.09,123.79,2.031,0.0,8.856,8.778,69.066,47.203,51.586,48.223,43.535,0.601,2018-04-26 17:00:00
